ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,d78142c2-54c8-48fd-8346-67ab75d01a5e,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15512, 'name': 'Sylvain Wiltord'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,9815d71d-139d-430d-9c7a-5260db57773f,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 40280, 'name': 'Richard Wright'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 40284, 'name': 'Alessandro Pistone'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40288, 'name': 'Joseph Phillip Yobo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 40285, 'name': 'Alan Stubbs'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 40281, 'name': 'David Unsworth'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 38558, 'name': 'Steve Watson'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 20189, 'name': 'Tobias Linderoth'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 15513, 'name': 'Thomas Gravesen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 40289, 'name': 'Mark Pembridge'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 40286, 'name': 'Tomasz Radziński'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 40283, 'name': 'Nick Chadwick'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",29,Everton,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,d9b7e5eb-8235-4295-84e9-db9d84b847ee,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['c1d423be-aee9-4e1b-a6d5-ec99ed7a0551'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,c1d423be-aee9-4e1b-a6d5-ec99ed7a0551,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['d9b7e5eb-8235-4295-84e9-db9d84b847ee'],0,,,,,,,,,,,,,,,,,,,,,,,29,Everton,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,1.278634,,,,,,,,,,,,,,,,,,,,,,729957b9-d479-49ab-995f-608a19177be5,5,,,"[60.0, 40.0]",0,,,,-2.7890396,,40.0,Right Foot,,,,"[49.4, 36.1]",,1.0,Ground Pass,,11.294689,,,,,15515.0,Patrick Vieira,,,,,,,65.0,Kick Off,1,9,From Kick Off,15512.0,Sylvain Wiltord,22.0,Right Center Forward,2,1,Arsenal,['1deff0f2-ee63-4951-90ba-f8a8ff399960'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.983,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1deff0f2-ee63-4951-90ba-f8a8ff399960,6,,,"[49.4, 36.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,2,1,Arsenal,['729957b9-d479-49ab-995f-608a19177be5'],2,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.262,42,Ball Receipt*,
,,,,,"[49.0, 35.9]",,,,,,,,,,,,,,,,0.172026,,,,,,,,,,,,,,,,,,,,,,1300c0aa-0704-4fcb-a0fd-dc98380ba3c4,7,,,"[49.4, 36.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,2,1,Arsenal,"['1deff0f2-ee63-4951-90ba-f8a8ff399960', 'a6f65e54-2f12-4c52-9868-318ade5adf0b']",2,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.262,43,Carry,
,,,,,,,,,,,,,,,,,,,,,2.159856,,,,,,,,,,,,,,,,,,,,,,a6f65e54-2f12-4c52-9868-318ade5adf0b,8,,,"[49.0, 35.9]",0,,,,1.6584499,,40.0,Right Foot,,,,"[46.1, 68.9]",,1.0,Ground Pass,,33.12718,,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,2,1,Arsenal,['10d578c5-4c81-4563-ad15-eb356ac08ee6'],2,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.434,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10d578c5-4c81-4563-ad15-eb356ac08ee6,9,,,"[46.1, 68.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['a6f65e54-2f12-4c52-9868-318ade5adf0b'],4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.593,42,Ball Receipt*,
,,,,,"[46.7, 68.9]",,,,,,,,,,,,,,,,0.711508,,,,,,,,,,,,,,,,,,,,,,8b68a8cf-7574-4f98-8a34-f12f9171a194,10,,,"[46.1, 68.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['10d578c5-4c81-4563-ad15-eb356ac08ee6', '7a9e4bcf-d6d9-453a-a4ab-c5c19489646b']",4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.593,43,Carry,
