50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,073b74b2-ccb4-496a-be59-43937f64ab1c,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,75,Charlton Athletic,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 40378, 'name': 'Dean Kiely'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 13808, 'name': 'Radostin Kishishev'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40381, 'name': 'Chris Perry'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 36}, {'player': {'id': 40380, 'name': 'Mark Fish'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 40377, 'name': 'Hermann Hreidarsson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 40379, 'name': 'Matt Holland'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 20286, 'name': 'Scott Parker'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 20153, 'name': 'Claus Jensen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40376, 'name': 'Graham Stuart'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 4}, {'player': {'id': 40375, 'name': 'Paolo Di Canio'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 40382, 'name': 'Jonatan Lillebror Johansson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]",75,Charlton Athletic,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,87526918-8b52-42b1-be8c-2b02752bb1a9,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,75,Charlton Athletic,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,c6bbce97-8612-4620-877d-908ab235c7d0,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,75,Charlton Athletic,['460ea88d-ed93-4a22-91ef-d614015976e6'],0,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,460ea88d-ed93-4a22-91ef-d614015976e6,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,75,Charlton Athletic,['c6bbce97-8612-4620-877d-908ab235c7d0'],0,,,,,,,,,,,,,,,,,,,,,,75,Charlton Athletic,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.441692,,,,,,,,,,,,,,,,,,,,,,e12f9462-28f4-482b-aed7-f20ec1883623,5,,,"[61.0, 40.1]",0,,,,,1.5707964,,40.0,Right Foot,,,"[61.0, 43.7]",1.0,Ground Pass,,3.6,,,,,15042.0,Dennis Bergkamp,,,,,,,65.0,Kick Off,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['cd9f507e-f343-473c-8b55-0fa13398254d'],0,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.756,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd9f507e-f343-473c-8b55-0fa13398254d,6,,,"[61.0, 43.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,['e12f9462-28f4-482b-aed7-f20ec1883623'],1,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.198,42,Ball Receipt*,
,,,,,"[61.2, 43.7]",,,,,,,,,,,,,,,,0.096775,,,,,,,,,,,,,,,,,,,,,,e9ae5fac-0400-4d50-80b4-bba6f4b9c505,7,,,"[61.0, 43.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,"['57ecbad4-eb6f-42fc-a340-c206dd3b05ee', 'cd9f507e-f343-473c-8b55-0fa13398254d']",1,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.198,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.236084,,,,,,,,,,,,,,,,,,,,,,57ecbad4-eb6f-42fc-a340-c206dd3b05ee,8,,,"[61.2, 43.7]",0,,,,,-2.4393358,,40.0,Right Foot,,,"[44.3, 29.4]",1.0,Ground Pass,,22.138203,,,,,40221.0,Gilberto Aparecido da Silva,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,['074b4ffa-d089-4427-8378-9dc7cebb422d'],1,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.295,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,074b4ffa-d089-4427-8378-9dc7cebb422d,9,,,"[44.3, 29.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,2,1,Arsenal,['57ecbad4-eb6f-42fc-a340-c206dd3b05ee'],2,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.531,42,Ball Receipt*,
,,,,,"[43.2, 28.7]",,,,,,,,,,,,,,,,0.811852,,,,,,,,,,,,,,,,,,,,,,09e7423e-cab2-4536-ab31-1beab837acc3,10,,,"[44.3, 29.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,2,1,Arsenal,"['074b4ffa-d089-4427-8378-9dc7cebb422d', '97ff1ba4-5235-4bd1-9c00-308abfaae039']",2,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.531,43,Carry,
