ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,faf6e4df-165e-4e5d-bf1f-b9c22babb867,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,54,Birmingham City,,0,,,,,,,,,,,,,,,,,,,4231.0,"[{'player': {'id': 40292, 'name': 'Maik Taylor'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 40293, 'name': 'Damien Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40296, 'name': 'Kenny Cunningham'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 40300, 'name': 'Matthew Upson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 40298, 'name': 'Jamie Clapham'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 40303, 'name': 'Aliou Cissé'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 40290, 'name': 'Robbie Savage'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 40297, 'name': 'Stephen Clemence'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 0}, {'player': {'id': 40302, 'name': 'David Dunn'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 0}, {'player': {'id': 40295, 'name': 'Stan Lazaridis'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 0}, {'player': {'id': 40301, 'name': 'Mikael Forssell'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 0}]",54,Birmingham City,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,42429c8b-a2d5-48e9-a585-20d7ddb03217,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,54,Birmingham City,,0,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,095c0400-b153-4c88-b263-97c98aabdeff,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,54,Birmingham City,['f8cd8f5e-a300-4dbe-8920-92b17b99234b'],0,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,f8cd8f5e-a300-4dbe-8920-92b17b99234b,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,54,Birmingham City,['095c0400-b153-4c88-b263-97c98aabdeff'],0,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.438912,,,,,,,,,,,,,,,,,,,,,ec727d68-7679-449f-8dc6-dd849717172a,5,,,"[60.0, 40.0]",0,,,,,1.5120405,,40.0,Right Foot,,,,"[60.1, 41.7]",,1.0,Ground Pass,,1.7029387,,,,40303.0,Aliou Cissé,,,,,,,65.0,Kick Off,1,9,From Kick Off,40302.0,David Dunn,19.0,Center Attacking Midfield,2,54,Birmingham City,['6351a56b-b67f-4123-b714-1ab691554a8b'],0,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:00.264,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6351a56b-b67f-4123-b714-1ab691554a8b,6,,,"[60.1, 41.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40303.0,Aliou Cissé,13.0,Right Center Midfield,2,54,Birmingham City,['ec727d68-7679-449f-8dc6-dd849717172a'],0,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:00.703,42,Ball Receipt*,
,,,,,"[59.5, 40.8]",,,,,,,,,,,,,,,,0.534228,,,,,,,,,,,,,,,,,,,,,f7f7a710-3890-4d5e-8e99-8e929c03b06e,7,,,"[60.1, 41.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40303.0,Aliou Cissé,13.0,Right Center Midfield,2,54,Birmingham City,"['6351a56b-b67f-4123-b714-1ab691554a8b', 'ad69109b-d14a-4a72-ade5-bc5c73858abe']",0,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:00.703,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.21598,,,,,,,,,,,,,,,,,,,,,ad69109b-d14a-4a72-ade5-bc5c73858abe,8,,,"[59.5, 40.8]",0,,,,,-3.0118902,,40.0,Right Foot,,,,"[52.6, 39.9]",,1.0,Ground Pass,,6.958448,,,,40290.0,Robbie Savage,,,,,,,,,1,9,From Kick Off,40303.0,Aliou Cissé,13.0,Right Center Midfield,2,54,Birmingham City,['28619a41-bc0c-4c4c-9715-5373bf493576'],1,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:01.237,30,Pass,
,,,,,,,,,,,,,,,,,,,,,0.699754,,,,,,,,,,,,,,,,,,,,,7d099d70-c685-402d-9925-aac57f478b8f,9,,,"[63.7, 46.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,54,Birmingham City,"['28619a41-bc0c-4c4c-9715-5373bf493576', 'c9a5a923-24d2-447b-8435-ea4449a1af0a']",1,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.981,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28619a41-bc0c-4c4c-9715-5373bf493576,10,,,"[52.6, 39.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40290.0,Robbie Savage,15.0,Left Center Midfield,2,54,Birmingham City,"['7d099d70-c685-402d-9925-aac57f478b8f', 'ad69109b-d14a-4a72-ade5-bc5c73858abe']",2,,,,,,,,,,,,,,,,,,,,,54,Birmingham City,00:00:02.453,42,Ball Receipt*,True
