ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_saved_off_target,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2d20bee4-0b17-409f-8088-ca264d0b8b53,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,85f7f7fb-bfd4-4f01-a502-ea51a1276044,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,4231.0,"[{'player': {'id': 15036, 'name': 'Edwin van der Sar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40408, 'name': 'Moritz Volz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40415, 'name': 'Andy Melville'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 40413, 'name': 'Zat Knight'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 40414, 'name': 'Jérôme Bonnissel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 40412, 'name': 'Sean Davis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 38566, 'name': 'Lee Clark'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40407, 'name': 'Steed Malbranque'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 40411, 'name': 'Sylvain Legwinski'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 40409, 'name': 'Junichi Inamoto'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 20505, 'name': 'Louis Saha'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]",55,Fulham,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,3a8da810-56ed-4e17-b9c3-2492aee34f34,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['3ac2ccc4-f3da-4474-a79d-c75f5605066a'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,3ac2ccc4-f3da-4474-a79d-c75f5605066a,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['3a8da810-56ed-4e17-b9c3-2492aee34f34'],0,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.432564,,,,,,,,,,,,,,,,,,,,e4cb9275-3582-4406-bca0-b0bf1ca49084,5,,,"[60.0, 40.0]",0,,,,,1.120135,,38.0,Left Foot,,,,"[61.5, 43.1]",1.0,Ground Pass,,3.443835,,,,15042.0,Dennis Bergkamp,,,,,,65.0,Kick Off,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['d565e750-24da-42ff-bbe9-e625a79d86fd'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.711,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d565e750-24da-42ff-bbe9-e625a79d86fd,6,,,"[61.5, 43.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,['e4cb9275-3582-4406-bca0-b0bf1ca49084'],1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.144,42,Ball Receipt*,
,,,,,"[62.4, 43.1]",,,,,,,,,,,,,,,,0.048358,,,,,,,,,,,,,,,,,,,,dc81fed7-e77c-4be3-b4b5-712aab44417d,7,,,"[61.5, 43.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,"['86bbb059-6846-42b7-86d1-e708b577513d', 'd565e750-24da-42ff-bbe9-e625a79d86fd']",1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.144,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.238969,,,,,,,,,,,,,,,,,,,,86bbb059-6846-42b7-86d1-e708b577513d,8,,,"[62.4, 43.1]",0,,,,,-2.5227056,,40.0,Right Foot,,,,"[48.5, 33.2]",1.0,Ground Pass,,17.065168,,,,26014.0,Eduardo César Daude Gaspar,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,['5bc0d294-4e91-4c48-b0c7-c0fae53571ac'],1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.192,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5bc0d294-4e91-4c48-b0c7-c0fae53571ac,9,,,"[48.5, 33.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,2,1,Arsenal,['86bbb059-6846-42b7-86d1-e708b577513d'],2,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.431,42,Ball Receipt*,
,,,,,"[48.5, 33.2]",,,,,,,,,,,,,,,,0.97172,,,,,,,,,,,,,,,,,,,,d848115b-563d-433b-888c-f33ab59ecde2,10,,,"[48.5, 33.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,2,1,Arsenal,"['3080dd71-4c71-44e2-b951-f90204eb7f1e', '5bc0d294-4e91-4c48-b0c7-c0fae53571ac']",2,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.431,43,Carry,
,,,,,,,,,,,,,,,,,,,,,2.039105,,,,,,,,,,,,,,,,,,,,3080dd71-4c71-44e2-b951-f90204eb7f1e,11,,,"[48.5, 33.2]",0,,,,,-1.3184528,,38.0,Left Foot,,,,"[55.9, 4.5]",1.0,Ground Pass,,29.638657,,,,19312.0,Robert Pirès ,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,2,1,Arsenal,['250385c3-4486-42d6-9798-eb3df24f0d37'],3,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.403,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250385c3-4486-42d6-9798-eb3df24f0d37,12,,,"[55.9, 4.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,['3080dd71-4c71-44e2-b951-f90204eb7f1e'],5,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.442,42,Ball Receipt*,
,,,,,"[54.7, 8.6]",,,,,,,,,,,,,,,,0.991517,,,,,,,,,,,,,,,,,,,,ebe758c8-228f-4a9a-a4b4-29498aa87c0c,13,,,"[55.9, 4.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,"['250385c3-4486-42d6-9798-eb3df24f0d37', '57a4fbc3-8723-43f9-b33c-d042227e9b8c', '7b134a30-e5d1-4c53-ba39-07bd84b06b19']",5,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.442,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,0.453273,,,,,,,,,,,,,,,,,,,,57a4fbc3-8723-43f9-b33c-d042227e9b8c,14,,,"[62.5, 72.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40409.0,Junichi Inamoto,21.0,Left Wing,2,1,Arsenal,['ebe758c8-228f-4a9a-a4b4-29498aa87c0c'],5,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:05.958,17,Pressure,
,,,,,,,,,,,,,,,,,,,,,1.489464,,,,,,,,,,,,,,,,,,,,7b134a30-e5d1-4c53-ba39-07bd84b06b19,15,,,"[54.7, 8.6]",0,,,,,2.5256562,,40.0,Right Foot,,,,"[39.3, 19.5]",1.0,Ground Pass,,18.867167,,,,26194.0,Pascal Cygan,,,,,,,,1,9,From Kick Off,19312.0,Robert Pirès ,16.0,Left Midfield,2,1,Arsenal,['2dbe794c-da2a-459e-8cf0-04fa86d1ebae'],6,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.434,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2dbe794c-da2a-459e-8cf0-04fa86d1ebae,16,,,"[39.3, 19.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26194.0,Pascal Cygan,5.0,Left Center Back,2,1,Arsenal,['7b134a30-e5d1-4c53-ba39-07bd84b06b19'],7,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.923,42,Ball Receipt*,
,,,,,"[40.5, 19.5]",,,,,,,,,,,,,,,,1.106698,,,,,,,,,,,,,,,,,,,,3ae88e48-5b17-44cd-a25e-cfc18df26798,17,,,"[39.3, 19.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26194.0,Pascal Cygan,5.0,Left Center Back,2,1,Arsenal,"['2dbe794c-da2a-459e-8cf0-04fa86d1ebae', '6c4104c0-cfe3-4603-93e0-c5f44da7eda8']",7,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:07.923,43,Carry,
,,,,,,,,,,,,,,,,,,,,,2.627987,,,,,,,,,,,,,,,,,,,,6c4104c0-cfe3-4603-93e0-c5f44da7eda8,18,,,"[40.5, 19.5]",0,,,,,1.200847,,38.0,Left Foot,,,,"[56.4, 60.5]",1.0,Ground Pass,,43.975105,,9.0,Incomplete,40221.0,Gilberto Aparecido da Silva,,True,,,,,,1,9,From Kick Off,26194.0,Pascal Cygan,5.0,Left Center Back,2,1,Arsenal,"['8abeec2e-bcb2-43d2-97be-2bbc22c9c2a1', 'd443fc96-1c08-4b5d-bfbf-f03efac5d070']",9,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:09.030,30,Pass,
9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8abeec2e-bcb2-43d2-97be-2bbc22c9c2a1,19,,,"[53.0, 52.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40221.0,Gilberto Aparecido da Silva,9.0,Right Defensive Midfield,2,1,Arsenal,['6c4104c0-cfe3-4603-93e0-c5f44da7eda8'],11,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.658,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,d443fc96-1c08-4b5d-bfbf-f03efac5d070,20,,,"[63.7, 19.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40407.0,Steed Malbranque,17.0,Right Wing,3,55,Fulham,['6c4104c0-cfe3-4603-93e0-c5f44da7eda8'],11,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:11.658,2,Ball Recovery,
,,,,,"[73.1, 37.2]",,,,,,,,,,,,,,,,2.730849,,,,,,,,,,,,,,,,,,,,6e9e2bb2-a60f-4efa-8a56-4a442806c965,21,,,"[63.7, 19.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,40407.0,Steed Malbranque,17.0,Right Wing,3,55,Fulham,"['33bef537-61ff-4769-9f09-cdfe03f67ed2', 'd443fc96-1c08-4b5d-bfbf-f03efac5d070']",11,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:11.658,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.781084,,,,,,,,,,,,,,,,,,,,33bef537-61ff-4769-9f09-cdfe03f67ed2,22,,,"[73.1, 37.2]",0,,,,,0.2569644,,40.0,Right Foot,,,,"[86.8, 40.8]",1.0,Ground Pass,,14.165098,,,,20505.0,Louis Saha,,,,,,,,1,1,Regular Play,40407.0,Steed Malbranque,17.0,Right Wing,3,55,Fulham,['d5a7f359-d44a-43e8-acb7-84168ae5189a'],14,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:14.389,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d5a7f359-d44a-43e8-acb7-84168ae5189a,23,,,"[86.8, 40.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20505.0,Louis Saha,23.0,Center Forward,3,55,Fulham,['33bef537-61ff-4769-9f09-cdfe03f67ed2'],15,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:15.170,42,Ball Receipt*,
,,,,,"[86.8, 40.8]",,,,,,,,,,,,,,,,0.101165,,,,,,,,,,,,,,,,,,,,e93950b5-e2b9-4dd2-bccb-5c4088b3c9b7,24,,,"[86.8, 40.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20505.0,Louis Saha,23.0,Center Forward,3,55,Fulham,"['2a0b8aa1-3f4a-4850-a4da-535ff84e5b27', 'd5a7f359-d44a-43e8-acb7-84168ae5189a', 'fe14bd50-3c26-4de2-88a8-684a9fd8e709']",15,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:15.170,43,Carry,True
,,,,,,,,,,,,True,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,fe14bd50-3c26-4de2-88a8-684a9fd8e709,25,,,"[33.3, 39.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,26194.0,Pascal Cygan,5.0,Left Center Back,3,55,Fulham,"['2a0b8aa1-3f4a-4850-a4da-535ff84e5b27', 'e93950b5-e2b9-4dd2-bccb-5c4088b3c9b7']",15,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:15.271,22,Foul Committed,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2a0b8aa1-3f4a-4850-a4da-535ff84e5b27,26,,,"[86.8, 40.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,20505.0,Louis Saha,23.0,Center Forward,3,55,Fulham,['fe14bd50-3c26-4de2-88a8-684a9fd8e709'],15,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:15.271,21,Foul Won,True
,,,,,,,,,,,,,,,,,,,,,1.007925,,,,,,,,,,,,,,,,,,,,0fc84ca1-9af4-4672-b609-5b53fd234d62,27,,,"[86.8, 40.8]",0,,,,,1.6680496,acbe0cf6-1b37-4277-b748-ead2eca91111,38.0,Left Foot,,,,"[86.4, 44.9]",1.0,Ground Pass,,4.119466,,,,40413.0,Zat Knight,True,,,,,62.0,Free Kick,1,3,From Free Kick,20505.0,Louis Saha,23.0,Center Forward,4,55,Fulham,['3796ba7c-843e-4ac6-9cba-5110c1efe729'],47,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:47.568,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3796ba7c-843e-4ac6-9cba-5110c1efe729,28,,,"[86.4, 44.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,From Free Kick,40413.0,Zat Knight,5.0,Left Center Back,4,55,Fulham,['0fc84ca1-9af4-4672-b609-5b53fd234d62'],48,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:48.576,42,Ball Receipt*,
