50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,dae862ee-8b8c-49aa-b023-5e979cd68ecd,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,328,Bolton Wanderers,,0,,,,,,,,,,,,,,,,,,4141.0,"[{'player': {'id': 40385, 'name': 'Jussi Jääskeläinen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9353, 'name': 'Nicky Hunt'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 40383, 'name': 'Émerson Augusto Thome'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 40390, 'name': 'Simon Charlton'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 40391, 'name': 'Ricardo Wayne Gardner'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 40386, 'name': 'Iván Campo Ramos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 21540, 'name': 'Kevin Nolan'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 4}, {'player': {'id': 40389, 'name': 'Per Frandsen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 40384, 'name': 'Augustine Azuka ""Jay-Jay"" Okocha'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 15073, 'name': 'Youri Djorkaeff'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 40388, 'name': 'Kevin Cyril Davies'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]",328,Bolton Wanderers,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,6bed258c-3c4c-4263-bb07-66e488bc1326,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,328,Bolton Wanderers,,0,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,92bcc0c9-44c8-4182-ad72-46f918d1ce5c,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,328,Bolton Wanderers,['ab218420-489a-4bee-9e65-0bbaeb219cf0'],0,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,ab218420-489a-4bee-9e65-0bbaeb219cf0,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,328,Bolton Wanderers,['92bcc0c9-44c8-4182-ad72-46f918d1ce5c'],0,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,0.369405,,,,,,,,,,,,,,,,,,,,343f1ffd-4ab8-4ef7-80c1-d1675274597c,5,,,"[60.0, 40.0]",0,,,,,-1.6162196,,40.0,Right Foot,,,,"[59.9, 37.8]",1.0,Ground Pass,,2.2022715,,,,,,15073.0,Youri Djorkaeff,,,,,,,65.0,Kick Off,1,9,From Kick Off,40389.0,Per Frandsen,13.0,Right Center Midfield,2,328,Bolton Wanderers,['a6f5d72a-2fb6-4439-abd9-1b4b22908069'],1,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:01.085,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a6f5d72a-2fb6-4439-abd9-1b4b22908069,6,,,"[59.9, 37.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15073.0,Youri Djorkaeff,16.0,Left Midfield,2,328,Bolton Wanderers,['343f1ffd-4ab8-4ef7-80c1-d1675274597c'],1,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:01.455,42,Ball Receipt*,
,,,,,,,"[57.4, 36.9]",,,,,,,,,,,,,,,,,0.753416,,,,,,,,,,,,,,,,,,,,875a2d46-8304-4c1d-ab59-b7f5a42078d5,7,,,"[59.9, 37.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15073.0,Youri Djorkaeff,16.0,Left Midfield,2,328,Bolton Wanderers,"['7fe6f4f7-79a1-49d7-8bfd-cbe10f6d3ce5', 'a6f5d72a-2fb6-4439-abd9-1b4b22908069']",1,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:01.455,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,2.734927,,,,,,,,,,,,,,,,,,,,7fe6f4f7-79a1-49d7-8bfd-cbe10f6d3ce5,8,,,"[57.4, 36.9]",0,,,,,2.4399674,,40.0,Right Foot,,,,"[29.0, 60.9]",1.0,Ground Pass,,37.182793,,,,,,9353.0,Nicky Hunt,,,,,,,,,1,9,From Kick Off,15073.0,Youri Djorkaeff,16.0,Left Midfield,2,328,Bolton Wanderers,['c6238c3c-aa66-43c7-b093-a1d4ee5fec70'],2,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:02.208,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c6238c3c-aa66-43c7-b093-a1d4ee5fec70,9,,,"[29.0, 60.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,9353.0,Nicky Hunt,2.0,Right Back,2,328,Bolton Wanderers,['7fe6f4f7-79a1-49d7-8bfd-cbe10f6d3ce5'],4,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:04.943,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,1.452182,,,,,,,,,,,,,,,,,,,,7729e320-fb1d-4c5f-9544-4cd46cdc9c35,10,,,"[29.0, 60.9]",0,,,,,-0.020457504,,40.0,Right Foot,,,,"[68.1, 60.1]",3.0,High Pass,,39.108185,,,9.0,Incomplete,,,,,,,,,,,,1,9,From Kick Off,9353.0,Nicky Hunt,2.0,Right Back,2,328,Bolton Wanderers,['b5ba979c-eeb4-4a90-a130-bdb66a150c54'],4,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:04.943,30,Pass,
