50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,9c325dc1-1368-43b8-b8ae-48718e286d10,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,7e54c6b6-64a8-4d19-a46e-80b855c7b2a2,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,451.0,"[{'player': {'id': 40310, 'name': 'Michael Oakes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40309, 'name': 'Oleg Luzhny'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 40314, 'name': 'Jody Craddock'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 40312, 'name': 'Paul Butler'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 40304, 'name': 'Lee Naylor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15405, 'name': 'Paul Ince'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 40308, 'name': 'Henri Camara'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 40311, 'name': 'Alex Rae'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40313, 'name': 'Colin Cameron'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40305, 'name': 'Mark Kennedy'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 10525, 'name': 'Kenny Miller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 16}]",46,Wolverhampton Wanderers,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,40dd60c6-d679-4690-904b-a486c7178d40,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['aebc84d1-e611-48d3-992d-8979ad84c94a'],0,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,aebc84d1-e611-48d3-992d-8979ad84c94a,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['40dd60c6-d679-4690-904b-a486c7178d40'],0,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,0.036695,,,,,,,,,,,,,,,,,,,d8921a0c-9073-4dcb-8521-ed01e5b3823c,5,,,"[61.0, 40.1]",0,,,,,-3.050933,,40.0,Right Foot,,,"[58.8, 39.9]",,1.0,Ground Pass,,2.209072,,,,,10525.0,Kenny Miller,,,,,,65.0,Kick Off,1,9,From Kick Off,40308.0,Henri Camara,12.0,Right Midfield,2,46,Wolverhampton Wanderers,['cdb325d8-2aad-4eea-96e8-9871c3412285'],0,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:00.893,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cdb325d8-2aad-4eea-96e8-9871c3412285,6,,,"[58.8, 39.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,10525.0,Kenny Miller,23.0,Center Forward,2,46,Wolverhampton Wanderers,['d8921a0c-9073-4dcb-8521-ed01e5b3823c'],0,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:00.930,42,Ball Receipt*,
,,,,,,,,,"[58.8, 40.7]",,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,7e178ddf-697a-4470-8c3c-79f9a1172e74,7,,,"[58.8, 39.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,10525.0,Kenny Miller,23.0,Center Forward,2,46,Wolverhampton Wanderers,"['b93d2eed-0239-4c26-886b-30824c472a6a', 'cdb325d8-2aad-4eea-96e8-9871c3412285']",0,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:00.930,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.436956,,,,,,,,,,,,,,,,,,,b93d2eed-0239-4c26-886b-30824c472a6a,8,,,"[58.8, 40.7]",0,,,,,-2.4756234,,40.0,Right Foot,,,"[46.2, 30.8]",,1.0,Ground Pass,,16.024044,,,,,40313.0,Colin Cameron,,,,,,,,1,9,From Kick Off,10525.0,Kenny Miller,23.0,Center Forward,2,46,Wolverhampton Wanderers,['be76670f-6eb1-41e2-89f4-101b969d7150'],0,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:00.970,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,be76670f-6eb1-41e2-89f4-101b969d7150,9,,,"[46.2, 30.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40313.0,Colin Cameron,15.0,Left Center Midfield,2,46,Wolverhampton Wanderers,['b93d2eed-0239-4c26-886b-30824c472a6a'],2,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:02.407,42,Ball Receipt*,
,,,,,,,,,"[44.9, 29.8]",,,,,,,,,,,,,,,0.974408,,,,,,,,,,,,,,,,,,,2e6c827c-0230-42ba-a8a1-0691cae52da0,10,,,"[46.2, 30.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40313.0,Colin Cameron,15.0,Left Center Midfield,2,46,Wolverhampton Wanderers,"['1035cc5b-9866-48b3-8db9-5fd9acc8f12e', 'be76670f-6eb1-41e2-89f4-101b969d7150']",2,,,,,,,,,,,,,,,,,,,,,,46,Wolverhampton Wanderers,00:00:02.407,43,Carry,
