ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,173b2a15-0a41-447b-9bd5-f0b5d014d1a0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,25,Southampton,,0,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 40438, 'name': 'Antti Mikko Niemi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 14}, {'player': {'id': 11009, 'name': 'Chris Baird'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 32}, {'player': {'id': 40441, 'name': 'Michael Lennart Svensson'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 11}, {'player': {'id': 40444, 'name': 'Fitz Hall'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 40445, 'name': 'Danny Higginbotham'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 40439, 'name': 'David Prutton'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 40434, 'name': 'Paul Telfer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 33}, {'player': {'id': 40435, 'name': 'Rory Delap'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 40440, 'name': 'Léandre Griffit'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 30}, {'player': {'id': 40442, 'name': 'James Beattie'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 40433, 'name': 'Kevin Phillips'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]",25,Southampton,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,025b0def-61d7-491d-bcdc-2be410b865bd,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,25,Southampton,,0,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,73e62d85-e957-4365-99de-ff590da30a6f,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,25,Southampton,['585b6a69-3bf8-438f-a143-fd3606daee2a'],0,,,,,,,,,,,,,,,,,,,,,25,Southampton,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,585b6a69-3bf8-438f-a143-fd3606daee2a,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,25,Southampton,['73e62d85-e957-4365-99de-ff590da30a6f'],0,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,0.688984,,,,,,,,,,,,,,,,,,f52ca8e2-b9ff-4919-8411-0e67c8d4f859,5,,,"[60.0, 40.0]",0,,,,,1.2793396,,38.0,Left Foot,,,"[60.3, 41.0]",,1.0,Ground Pass,,1.0440307,,,,15516.0,Thierry Henry,,,,,,,65.0,Kick Off,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,['d78a7b48-7c36-4924-b5d5-2c8e7bf8b107'],0,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.910,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d78a7b48-7c36-4924-b5d5-2c8e7bf8b107,6,,,"[60.3, 41.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['f52ca8e2-b9ff-4919-8411-0e67c8d4f859'],1,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.599,42,Ball Receipt*,
,,,,,"[60.5, 41.0]",,,,,,,,,,,,,,,0.047525,,,,,,,,,,,,,,,,,,f113503c-4ab2-4f0a-9aba-e13e5f96bc00,7,,,"[60.3, 41.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,"['b20f9e0a-9e28-4a5f-869b-8ba393f6c25f', 'd78a7b48-7c36-4924-b5d5-2c8e7bf8b107']",1,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.599,43,Carry,
,,,,,,,,,,,,,,,,,,,,0.872383,,,,,,,,,,,,,,,,,,b20f9e0a-9e28-4a5f-869b-8ba393f6c25f,8,,,"[60.5, 41.0]",0,,,,,-2.7472782,,40.0,Right Foot,,,"[45.6, 34.8]",,1.0,Ground Pass,,16.138464,,,,15515.0,Patrick Vieira,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['5d2d5ed2-90d9-4ec0-893e-e3ce644b8a45'],1,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.646,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d2d5ed2-90d9-4ec0-893e-e3ce644b8a45,9,,,"[45.6, 34.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,2,1,Arsenal,['b20f9e0a-9e28-4a5f-869b-8ba393f6c25f'],2,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.519,42,Ball Receipt*,
,,,,,"[66.6, 16.2]",,,,,,,,,,,,,,,4.314278,,,,,,,,,,,,,,,,,,643a9a7f-c69a-443e-8adf-4dce2e7fb6bb,10,,,"[45.6, 34.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,11.0,Left Defensive Midfield,2,1,Arsenal,"['4dab2376-9125-4c42-836f-823c4c59c575', '5d2d5ed2-90d9-4ec0-893e-e3ce644b8a45', 'c333a21e-8975-4fdd-858d-c8ec3af8e282']",2,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.519,43,Carry,True
