50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,5485c101-4dd7-4d32-a873-21e61b796c99,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,59,Aston Villa,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20145, 'name': 'Thomas Løvendahl Sørensen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40361, 'name': 'Mark Anthony Delaney'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15761, 'name': 'Olof Mellberg'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 24763, 'name': 'Ronny Johnsen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 27}, {'player': {'id': 40359, 'name': 'Jlloyd Tafari Samuel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40363, 'name': 'Lee Hendrie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 20019, 'name': 'Thomas Hitzlsperger'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 4394, 'name': 'Peter Whittingham'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 3633, 'name': 'Gareth Barry'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 20180, 'name': 'Marcus Allbäck'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 40362, 'name': 'Juan Pablo Ángel Arango'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]",59,Aston Villa,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,6483008d-db53-4bfa-991c-29a23948560c,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,59,Aston Villa,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 24971, 'name': 'Nwankwo Christian Kanu'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,a75c5968-4d8c-478f-8481-57d2b3e69f6b,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,59,Aston Villa,['715bf9a9-0e0c-4038-be3a-301f20d0637c'],0,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,715bf9a9-0e0c-4038-be3a-301f20d0637c,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,59,Aston Villa,['a75c5968-4d8c-478f-8481-57d2b3e69f6b'],0,,,,,,,,,,,,,,,,,,,,,,59,Aston Villa,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,0.696204,,,,,,,,,,,,,,,,,,,,,,8deefe8d-110d-49b0-bb1d-f3610bfb05e1,5,,,"[60.0, 40.0]",0,,,,,1.1341692,,40.0,Right Foot,,,,"[60.7, 41.5]",1.0,Ground Pass,,1.6552945,,,,,15516.0,Thierry Henry,,,,,65.0,Kick Off,1,9,From Kick Off,24971.0,Nwankwo Christian Kanu,22.0,Right Center Forward,2,1,Arsenal,['67413f35-2248-4b8b-8c18-eed4f1fadfbf'],1,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.330,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67413f35-2248-4b8b-8c18-eed4f1fadfbf,6,,,"[60.7, 41.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['8deefe8d-110d-49b0-bb1d-f3610bfb05e1'],2,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.026,42,Ball Receipt*,
,,,,,,,,"[57.1, 39.6]",,,,,,,,,,,,,,,,1.054622,,,,,,,,,,,,,,,,,,,,,,3e2eae22-25a1-452e-9a0b-25dee2eebbb8,7,,,"[60.7, 41.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,"['3a8ff02b-5b55-4ff8-9518-c29dbc10a0c8', '67413f35-2248-4b8b-8c18-eed4f1fadfbf']",2,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.026,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.555449,,,,,,,,,,,,,,,,,,,,,,3a8ff02b-5b55-4ff8-9518-c29dbc10a0c8,8,,,"[57.1, 39.6]",0,,,,,2.5924892,,40.0,Right Foot,,,,"[35.2, 53.0]",2.0,Low Pass,,25.674307,,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['ad7457e8-0f88-4fa4-995c-bddaeb7b392e'],3,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.081,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad7457e8-0f88-4fa4-995c-bddaeb7b392e,9,,,"[35.2, 53.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",3.0,Right Center Back,2,1,Arsenal,['3a8ff02b-5b55-4ff8-9518-c29dbc10a0c8'],4,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.636,42,Ball Receipt*,
,,,,,,,,"[34.7, 52.7]",,,,,,,,,,,,,,,,0.952051,,,,,,,,,,,,,,,,,,,,,,d3d08aa8-4de2-48d8-8f21-929f4cd8dbee,10,,,"[35.2, 53.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",3.0,Right Center Back,2,1,Arsenal,"['42cea91e-f78c-4f3f-9af1-288a948b3ae7', 'ad7457e8-0f88-4fa4-995c-bddaeb7b392e']",4,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.636,43,Carry,
