50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,f99d24e5-7b0d-43b4-82b7-67cb639c5b63,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,dc160dc4-47a1-4c90-8705-5f34996f7fb7,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,4321.0,"[{'player': {'id': 20329, 'name': 'David James'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40215, 'name': 'Jihai Sun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 20447, 'name': 'Richard Dunne'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 40218, 'name': 'Sylvain Distin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24758, 'name': 'Michael Tarnat'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 38552, 'name': 'Joey Barton'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 38465, 'name': 'Claudio Reyna'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19636, 'name': 'Paul Bosvelt'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 26}, {'player': {'id': 38551, 'name': 'Shaun Wright-Phillips'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 29}, {'player': {'id': 40217, 'name': 'Trevor Sinclair'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 15519, 'name': 'Nicolas Anelka'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 39}]",36,Manchester City,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,3aeeb449-a591-414a-9be3-de14c2428373,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['f558346f-a0e5-4fb4-8129-d09065138d34'],0,,,,,,,,,,,,,,,,,,,,,,36,Manchester City,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,f558346f-a0e5-4fb4-8129-d09065138d34,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['3aeeb449-a591-414a-9be3-de14c2428373'],0,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,0.491861,,,,,,,,,,,,,,,,,,,,1e2c8045-df7c-4605-9d6b-9c82f4b3a75a,5,,,"[60.0, 40.0]",0,,,,,-1.7463884,,40.0,Right Foot,,,,"[58.9, 33.8]",,1.0,Ground Pass,,6.2968245,,,,15516.0,Thierry Henry,,,,,,65.0,Kick Off,1,9,From Kick Off,15042.0,Dennis Bergkamp,24.0,Left Center Forward,2,1,Arsenal,['e0927444-9a15-4aa8-8e22-a3aaae4d96db'],0,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.567,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e0927444-9a15-4aa8-8e22-a3aaae4d96db,6,,,"[58.9, 33.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,22.0,Right Center Forward,2,1,Arsenal,['1e2c8045-df7c-4605-9d6b-9c82f4b3a75a'],1,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.059,42,Ball Receipt*,
,,,,,,,"[55.9, 36.0]",,,,,,,,,,,,,,,,0.522445,,,,,,,,,,,,,,,,,,,,22590985-ccc0-4dce-8d11-ebc888b41809,7,,,"[58.9, 33.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,22.0,Right Center Forward,2,1,Arsenal,"['e0927444-9a15-4aa8-8e22-a3aaae4d96db', 'f4c05f20-ebfd-4d58-b518-fcea27c34835']",1,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.059,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.990764,,,,,,,,,,,,,,,,,,,,f4c05f20-ebfd-4d58-b518-fcea27c34835,8,,,"[55.9, 36.0]",0,,,,,2.1945405,,40.0,Right Foot,,,,"[42.3, 54.9]",,1.0,Ground Pass,,23.284544,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,22.0,Right Center Forward,2,1,Arsenal,['049762d8-d22f-4073-b806-0156cd8d68ef'],1,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.582,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,049762d8-d22f-4073-b806-0156cd8d68ef,9,,,"[42.3, 54.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['f4c05f20-ebfd-4d58-b518-fcea27c34835'],3,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.572,42,Ball Receipt*,
,,,,,,,"[42.3, 54.9]",,,,,,,,,,,,,,,,0.134793,,,,,,,,,,,,,,,,,,,,60a1c304-f060-4529-8c78-4e93076b62ec,10,,,"[42.3, 54.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['049762d8-d22f-4073-b806-0156cd8d68ef', 'c7088607-3fa4-4a50-aba2-47a9f7b068c5']",3,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.572,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.596091,,,,,,,,,,,,,,,,,,,,c7088607-3fa4-4a50-aba2-47a9f7b068c5,11,,,"[42.3, 54.9]",0,,,,,-0.67474097,,40.0,Right Foot,,,,"[48.3, 50.1]",,1.0,Ground Pass,,7.683749,,,,15042.0,Dennis Bergkamp,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['4fd7618e-60e0-464e-a0ff-14a44fd4102a'],3,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.707,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4fd7618e-60e0-464e-a0ff-14a44fd4102a,12,,,"[48.3, 50.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,24.0,Left Center Forward,2,1,Arsenal,['c7088607-3fa4-4a50-aba2-47a9f7b068c5'],5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.303,42,Ball Receipt*,
,,,,,,,"[48.5, 50.1]",,,,,,,,,,,,,,,,0.034913,,,,,,,,,,,,,,,,,,,,aca14c7c-1625-4de0-b6b8-6a65071d19ed,13,,,"[48.3, 50.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,24.0,Left Center Forward,2,1,Arsenal,"['1f8b677c-0558-4b88-bbc5-2d0326ca9b48', '4fd7618e-60e0-464e-a0ff-14a44fd4102a']",5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.303,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.072798,,,,,,,,,,,,,,,,,,,,1f8b677c-0558-4b88-bbc5-2d0326ca9b48,14,,,"[48.5, 50.1]",0,,,,,2.465348,,40.0,Right Foot,,,,"[40.4, 56.6]",,1.0,Ground Pass,,10.385567,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,24.0,Left Center Forward,2,1,Arsenal,['4715e0b0-2bce-4f01-b01f-2cfe8b096450'],5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.338,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4715e0b0-2bce-4f01-b01f-2cfe8b096450,15,,,"[40.4, 56.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['1f8b677c-0558-4b88-bbc5-2d0326ca9b48'],6,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.411,42,Ball Receipt*,
,,,,,,,"[40.4, 56.6]",,,,,,,,,,,,,,,,0.474235,,,,,,,,,,,,,,,,,,,,da3be1c1-d210-444a-9154-d0aabef85b86,16,,,"[40.4, 56.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['4715e0b0-2bce-4f01-b01f-2cfe8b096450', '874428de-d680-40be-b903-607a49d0d371']",6,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.411,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.951312,,,,,,,,,,,,,,,,,,,,874428de-d680-40be-b903-607a49d0d371,17,,,"[40.4, 56.6]",0,,,,,-1.8843503,,40.0,Right Foot,,,,"[28.5, 19.9]",,1.0,Ground Pass,,38.581085,,,,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['5464fa08-44da-4c92-8748-56b5d8994ff5'],6,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:06.885,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5464fa08-44da-4c92-8748-56b5d8994ff5,18,,,"[28.5, 19.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['874428de-d680-40be-b903-607a49d0d371'],8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.837,42,Ball Receipt*,
,,,,,,,"[30.4, 18.3]",,,,,,,,,,,,,,,,1.547263,,,,,,,,,,,,,,,,,,,,99fac2b0-1768-4172-8b93-4c825ceec8ad,19,,,"[28.5, 19.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,"['5464fa08-44da-4c92-8748-56b5d8994ff5', '608aa9d4-6d2f-425b-b1e6-3073c1a68a13']",8,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:08.837,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.253751,,,,,,,,,,,,,,,,,,,,608aa9d4-6d2f-425b-b1e6-3073c1a68a13,20,,,"[30.4, 18.3]",0,,,,,-1.0688194,,38.0,Left Foot,,,,"[37.7, 5.0]",,1.0,Ground Pass,,15.171684,,,,12529.0,Ashley Cole,,,,,,,,1,9,From Kick Off,15637.0,"Sulzeer Jeremiah ""Sol"" Campbell",5.0,Left Center Back,2,1,Arsenal,['b8436126-ca74-459d-a0b7-82537d588e33'],10,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:10.384,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b8436126-ca74-459d-a0b7-82537d588e33,21,,,"[37.7, 5.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,['608aa9d4-6d2f-425b-b1e6-3073c1a68a13'],11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.638,42,Ball Receipt*,
,,,,,,,"[40.7, 5.0]",,,,,,,,,,,,,,,,1.523387,,,,,,,,,,,,,,,,,,,,70bfed2a-67e4-4610-bbce-820103f3ad65,22,,,"[37.7, 5.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,12529.0,Ashley Cole,6.0,Left Back,2,1,Arsenal,"['b8436126-ca74-459d-a0b7-82537d588e33', 'f19e1d64-8936-4766-b912-3fdb939a536b']",11,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:11.638,43,Carry,
