ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,41e9d064-6116-43c2-9c44-dd2ee77c8f93,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,9c9012d2-3638-4f72-8bf3-6315ed356f40,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,433.0,"[{'player': {'id': 40385, 'name': 'Jussi Jääskeläinen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 9353, 'name': 'Nicky Hunt'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 40393, 'name': 'Bruno N""Gotty'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40383, 'name': 'Émerson Augusto Thome'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 40390, 'name': 'Simon Charlton'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40386, 'name': 'Iván Campo Ramos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 21540, 'name': 'Kevin Nolan'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40384, 'name': 'Augustine Azuka ""Jay-Jay"" Okocha'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 19772, 'name': 'Stylianos Giannakopoulos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40387, 'name': 'Henrik Pedersen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 40388, 'name': 'Kevin Cyril Davies'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]",328,Bolton Wanderers,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,c496c55c-6e2b-454f-b2a5-a2a734fb837b,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['5897606b-6b40-409f-b5ae-a58e55e10bee'],0,,,,,,,,,,,,,,,,,,,,,,,328,Bolton Wanderers,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,5897606b-6b40-409f-b5ae-a58e55e10bee,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['c496c55c-6e2b-454f-b2a5-a2a734fb837b'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,0.589561,,,,,,,,,,,,,,,,,,,,,5f13ad4e-d435-481f-8841-2650d41026ea,5,,,"[60.0, 40.0]",0,,,,,1.3439975,,38.0,Left Foot,,,,"[60.3, 41.3]",,1.0,Ground Pass,,1.3341664,,,,,15042.0,Dennis Bergkamp,,,,,,65.0,Kick Off,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['dcc261db-b226-482c-8294-da810b4ee981'],1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.109,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dcc261db-b226-482c-8294-da810b4ee981,6,,,"[60.3, 41.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,['5f13ad4e-d435-481f-8841-2650d41026ea'],1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.699,42,Ball Receipt*,
,,,,,"[60.8, 41.6]",,,,,,,,,,,,,,,0.136187,,,,,,,,,,,,,,,,,,,,,a0f89705-07d7-4bf9-97da-be446165f3bb,7,,,"[60.3, 41.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,"['0effd68a-e937-4eb7-b1b1-d1d083d0e089', 'dcc261db-b226-482c-8294-da810b4ee981']",1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.699,43,Carry,
,,,,,,,,,,,,,,,,,,,,0.876479,,,,,,,,,,,,,,,,,,,,,0effd68a-e937-4eb7-b1b1-d1d083d0e089,8,,,"[60.8, 41.6]",0,,,,,-2.8982375,,40.0,Right Foot,,,,"[46.3, 38.0]",,1.0,Ground Pass,,14.940214,,,,,26014.0,Eduardo César Daude Gaspar,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,['8f49ae5f-7172-466c-9b47-57cfef126726'],1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.835,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8f49ae5f-7172-466c-9b47-57cfef126726,9,,,"[46.3, 38.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,2,1,Arsenal,['0effd68a-e937-4eb7-b1b1-d1d083d0e089'],2,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.712,42,Ball Receipt*,
,,,,,"[44.3, 36.0]",,,,,,,,,,,,,,,0.684877,,,,,,,,,,,,,,,,,,,,,8c3a5051-f039-4f70-b59e-dc3158a7660b,10,,,"[46.3, 38.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,11.0,Left Defensive Midfield,2,1,Arsenal,"['8f49ae5f-7172-466c-9b47-57cfef126726', '9dcc1bb6-7990-4d8a-a6cc-55886c1feefb', 'd59d05a9-4647-4957-baf9-9e8c280b0106']",2,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.712,43,Carry,True
