50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,a356c4d4-af2a-44c8-a8bd-6342386333c0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,f741c203-df2d-4bff-b6c8-c73cd379608f,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,4411.0,"[{'player': {'id': 40364, 'name': 'Roy Carroll'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 15402, 'name': 'Gary Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40366, 'name': 'Wes Brown'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 20341, 'name': 'Mikaël Silvestre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 16890, 'name': 'John O""Shea'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 4022, 'name': 'Darren Fletcher'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 40365, 'name': 'Eric Daniel Djemba-Djemba'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 24805, 'name': 'Roy Keane'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 20175, 'name': 'Ryan Giggs'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15666, 'name': 'Paul Scholes'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 0}, {'player': {'id': 19729, 'name': 'Ruud van Nistelrooy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 0}]",39,Manchester United,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,34a837ce-ec7a-497e-a0e0-fcf8c7c31bfb,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['c25eb7ea-8ae1-4e43-8a95-121771e9b6a8'],0,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,c25eb7ea-8ae1-4e43-8a95-121771e9b6a8,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['34a837ce-ec7a-497e-a0e0-fcf8c7c31bfb'],0,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.485553,,,,,,,,,,,,,,,,,,,58c0143b-5ffc-4c94-94a5-4295f8398afe,5,,,"[60.0, 40.0]",0,,,,,-2.0344439,,38.0,Left Foot,,,,"[59.2, 38.4]",,1.0,Ground Pass,,1.7888544,,,,,15516.0,Thierry Henry,,,,,,,65.0,Kick Off,1,9,From Kick Off,23816.0,José Antonio Reyes Calderón,22.0,Right Center Forward,2,1,Arsenal,['bb06fc91-f43f-41d7-8fb1-4e7d1c77bdc8'],1,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.834,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bb06fc91-f43f-41d7-8fb1-4e7d1c77bdc8,6,,,"[59.2, 38.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['58c0143b-5ffc-4c94-94a5-4295f8398afe'],2,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.320,42,Ball Receipt*,
,,,,,,"[57.8, 40.7]",,,,,,,,,,,,,,,1.325075,,,,,,,,,,,,,,,,,,,6ed9fd5b-ccd1-4c55-bd1f-5beed9c1ccbb,7,,,"[59.2, 38.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,"['5000dc60-5a82-4420-9932-ac70bf135228', 'bb06fc91-f43f-41d7-8fb1-4e7d1c77bdc8']",2,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.320,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.94703,,,,,,,,,,,,,,,,,,,5000dc60-5a82-4420-9932-ac70bf135228,8,,,"[57.8, 40.7]",0,,,,,2.2716508,,40.0,Right Foot,,,,"[38.9, 63.1]",,2.0,Low Pass,,29.30819,,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['024e8861-18b2-49f1-9f2b-475d12fb3777'],3,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.645,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,024e8861-18b2-49f1-9f2b-475d12fb3777,9,,,"[38.9, 63.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['5000dc60-5a82-4420-9932-ac70bf135228'],5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.592,42,Ball Receipt*,
,,,,,,"[38.3, 60.5]",,,,,,,,,,,,,,,1.398851,,,,,,,,,,,,,,,,,,,e0df8ba1-56e3-43d0-8002-da54f6768d96,10,,,"[38.9, 63.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['024e8861-18b2-49f1-9f2b-475d12fb3777', '2a7afafb-3bdc-4bce-8cf7-03e736154ff0']",5,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:05.592,43,Carry,
