bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_redirect,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,ffdbffbf-aad2-4694-a079-8ab4e0f20769,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,8ab2e7df-7642-4f9b-ad8e-4da95dfe7fa2,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 34390, 'name': 'Jerzy Dudek'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 34388, 'name': 'Jamie Carragher'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 40254, 'name': 'Igor Bišćan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 34389, 'name': 'Sami Hyypiä'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 34386, 'name': 'John Arne Semundseth Riise'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 38522, 'name': 'Dietmar Hamann'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 19109, 'name': 'Steven Gerrard'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 40257, 'name': 'El-Hadji Ousseynou Diouf'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 34391, 'name': 'Harry Kewell'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15659, 'name': 'Emile Heskey'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 15665, 'name': 'Michael Owen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]",24,Liverpool,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,c77df932-7a63-4d12-99de-542ee0115a37,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['158f68e3-189a-498f-93b9-412a30ec4287'],0,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,158f68e3-189a-498f-93b9-412a30ec4287,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['c77df932-7a63-4d12-99de-542ee0115a37'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.44968,,,,,,,,,,,,,,,,,,,255af120-7cad-463c-9d2f-884784fca4c6,5,,,"[61.0, 40.1]",0,,,,,0.96850896,,40.0,Right Foot,,,"[63.2, 43.3]",,1.0,Ground Pass,,3.8832977,,,,,15665.0,Michael Owen,,,,,,65.0,Kick Off,1,9,From Kick Off,19109.0,Steven Gerrard,11.0,Left Defensive Midfield,2,24,Liverpool,['a82c7ba3-9e03-4ffa-99de-a9e1a566cf7b'],0,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:00.278,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a82c7ba3-9e03-4ffa-99de-a9e1a566cf7b,6,,,"[63.2, 43.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15665.0,Michael Owen,24.0,Left Center Forward,2,24,Liverpool,['255af120-7cad-463c-9d2f-884784fca4c6'],0,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:00.728,42,Ball Receipt*,
,,,,,,"[64.1, 44.3]",,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,dbdc721a-807d-4693-9ccc-a8cf420f25cc,7,,,"[63.2, 43.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15665.0,Michael Owen,24.0,Left Center Forward,2,24,Liverpool,"['267f5c32-b8af-49e5-9c04-9307f24c9c3c', 'a82c7ba3-9e03-4ffa-99de-a9e1a566cf7b']",0,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:00.728,43,Carry,
,,,,,,,,,,,,,,,,,,,,,0.997256,,,,,,,,,,,,,,,,,,,267f5c32-b8af-49e5-9c04-9307f24c9c3c,8,,,"[64.1, 44.3]",0,,,,,-2.9255078,,40.0,Right Foot,,,"[47.7, 40.7]",,1.0,Ground Pass,,16.790474,,,,,38522.0,Dietmar Hamann,,,,,,,,1,9,From Kick Off,15665.0,Michael Owen,24.0,Left Center Forward,2,24,Liverpool,['cd1c2520-a489-4e05-af9f-2398702c47ae'],0,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:00.848,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd1c2520-a489-4e05-af9f-2398702c47ae,9,,,"[47.7, 40.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38522.0,Dietmar Hamann,9.0,Right Defensive Midfield,2,24,Liverpool,['267f5c32-b8af-49e5-9c04-9307f24c9c3c'],1,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:01.845,42,Ball Receipt*,
,,,,,,"[46.5, 43.2]",,,,,,,,,,,,,,,1.072761,,,,,,,,,,,,,,,,,,,5d57b08a-ce15-4380-b81f-55a448c6a6ee,10,,,"[47.7, 40.7]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,38522.0,Dietmar Hamann,9.0,Right Defensive Midfield,2,24,Liverpool,"['34373762-8408-4e56-bef9-f782e0e797d4', 'cd1c2520-a489-4e05-af9f-2398702c47ae']",1,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:01.845,43,Carry,
