ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,f7931ad3-1fc4-49b3-a99b-9f99ce61fcf1,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 20302, 'name': 'Gaël Clichy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 15512, 'name': 'Sylvain Wiltord'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,c0dd4029-f42d-448d-a4a6-31cb7ae9c289,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 40132, 'name': 'Paul Robinson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40270, 'name': 'Gary Oliver Kelly'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40370, 'name': 'Lucas Radebe'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40369, 'name': 'Steven Caldwell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 40368, 'name': 'Ian Harte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26649, 'name': 'Jermaine Pennant'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 40371, 'name': 'Michael Duberry'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 39847, 'name': 'Dominic Matteo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 3473, 'name': 'James Philip Milner'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 38}, {'player': {'id': 40373, 'name': 'Mark Viduka'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 40267, 'name': 'Alan Smith'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]",101,Leeds United,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,adea95fb-8624-4540-9b75-b761ff284587,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['b77e348d-480f-48fe-996c-1fb0042fc4fb'],0,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,b77e348d-480f-48fe-996c-1fb0042fc4fb,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['adea95fb-8624-4540-9b75-b761ff284587'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,0.864642,,,,,,,,,,,,,,,,,,,52289fd1-64d3-45ee-97e5-12f12b6f543d,5,,,"[61.0, 40.1]",0,,,,,1.7033478,,40.0,Right Foot,,,"[60.4, 44.6]",,1.0,Ground Pass,,4.539824,,,,,40373.0,Mark Viduka,,,,,,,65.0,Kick Off,1,9,From Kick Off,40267.0,Alan Smith,24.0,Left Center Forward,2,101,Leeds United,['68e5aa07-5d98-47d2-a898-c5c61764b6fb'],0,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:00.096,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68e5aa07-5d98-47d2-a898-c5c61764b6fb,6,,,"[60.4, 44.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40373.0,Mark Viduka,22.0,Right Center Forward,2,101,Leeds United,['52289fd1-64d3-45ee-97e5-12f12b6f543d'],0,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:00.960,42,Ball Receipt*,
,,,,"[56.4, 46.8]",,,,,,,,,,,,,,,,1.773238,,,,,,,,,,,,,,,,,,,1895bd5a-b93e-4d11-8a44-499c708c4570,7,,,"[60.4, 44.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40373.0,Mark Viduka,22.0,Right Center Forward,2,101,Leeds United,"['515ef64c-da8c-48e0-a581-4f56efc714d2', '68e5aa07-5d98-47d2-a898-c5c61764b6fb']",0,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:00.960,43,Carry,
,,,,,,,,,,,,,,,,,,,,1.748827,,,,,,,,,,,,,,,,,,,515ef64c-da8c-48e0-a581-4f56efc714d2,8,,,"[56.4, 46.8]",0,,,,,2.0018775,,40.0,Right Foot,,,"[43.2, 75.5]",,1.0,Ground Pass,,31.59003,,,,,26649.0,Jermaine Pennant,,,,,,,,,1,9,From Kick Off,40373.0,Mark Viduka,22.0,Right Center Forward,2,101,Leeds United,['21eaf411-53cf-4dd7-9c8f-8ab9d07a85ba'],2,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:02.734,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21eaf411-53cf-4dd7-9c8f-8ab9d07a85ba,9,,,"[43.2, 75.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26649.0,Jermaine Pennant,12.0,Right Midfield,2,101,Leeds United,['515ef64c-da8c-48e0-a581-4f56efc714d2'],4,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:04.482,42,Ball Receipt*,
,,,,"[43.8, 77.2]",,,,,,,,,,,,,,,,2.407331,,,,,,,,,,,,,,,,,,,1bb4a507-25de-4d0e-b412-a46bf74fb639,10,,,"[43.2, 75.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26649.0,Jermaine Pennant,12.0,Right Midfield,2,101,Leeds United,"['21eaf411-53cf-4dd7-9c8f-8ab9d07a85ba', '2c618da1-c003-44d5-9e2b-7fc03204dc65']",4,,,,,,,,,,,,,,,,,,,,,,,101,Leeds United,00:00:04.482,43,Carry,
