bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_success_in_play,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_redirect,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,302ad8f4-fe32-40f3-86ec-0e853e730fed,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,55,Fulham,,0,,,,,,,,,,,,,,,,,,,,,,451.0,"[{'player': {'id': 15036, 'name': 'Edwin van der Sar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40408, 'name': 'Moritz Volz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40421, 'name': 'Ian Pearce'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 35}, {'player': {'id': 40422, 'name': 'Alain Goma'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 40420, 'name': 'Carlos Manuel Bocanegra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 34}, {'player': {'id': 40423, 'name': 'Martin Djetou'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 40412, 'name': 'Sean Davis'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 40411, 'name': 'Sylvain Legwinski'}, 'position': {'id': 14, 'name': 'Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 40409, 'name': 'Junichi Inamoto'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 40407, 'name': 'Steed Malbranque'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 40424, 'name': 'Luís Boa Morte Pereira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]",55,Fulham,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,c7927cb5-4ee4-4e73-84bf-98d2244e98b0,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,55,Fulham,,0,,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 23816, 'name': 'José Antonio Reyes Calderón'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,819b750b-d612-42b7-8fef-7931d95ac581,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,55,Fulham,['cd7ce2d6-5860-4971-ad6c-d01b082e5329'],0,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,cd7ce2d6-5860-4971-ad6c-d01b082e5329,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,55,Fulham,['819b750b-d612-42b7-8fef-7931d95ac581'],0,,,,,,,,,,,,,,,,,,,,,,,,55,Fulham,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,0.663007,,,,,,,,,,,,,,,,,,,,,647e305f-0a77-4094-88db-21b77fe8d96f,5,,,"[60.0, 40.0]",0,,,,,-1.5707964,,38.0,Left Foot,,,,"[60.0, 36.5]",1.0,Ground Pass,,3.5,,,,,,15516.0,Thierry Henry,,,,,,65.0,Kick Off,1,9,From Kick Off,23816.0,José Antonio Reyes Calderón,24.0,Left Center Forward,2,1,Arsenal,['f7ae1c04-556d-4966-a3b5-018e989599d0'],0,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.816,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f7ae1c04-556d-4966-a3b5-018e989599d0,6,,,"[60.0, 36.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,22.0,Right Center Forward,2,1,Arsenal,['647e305f-0a77-4094-88db-21b77fe8d96f'],1,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.479,42,Ball Receipt*,
,,,,,,,"[55.9, 36.5]",,,,,,,,,,,,,,,,1.402935,,,,,,,,,,,,,,,,,,,,,72d71c5e-537c-46ca-873f-e38294a796cd,7,,,"[60.0, 36.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,22.0,Right Center Forward,2,1,Arsenal,"['783763a1-a4d9-4acd-afdc-2734b479ff7a', 'f7ae1c04-556d-4966-a3b5-018e989599d0']",1,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.479,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,0.97729,,,,,,,,,,,,,,,,,,,,,783763a1-a4d9-4acd-afdc-2734b479ff7a,8,,,"[55.9, 36.5]",0,,,,,-2.8309941,,40.0,Right Foot,,,,"[47.8, 33.9]",1.0,Ground Pass,,8.507056,,,,,,15515.0,Patrick Vieira,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,22.0,Right Center Forward,2,1,Arsenal,['f157a432-4762-4b4f-acf8-df84a4c54cc2'],2,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.882,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f157a432-4762-4b4f-acf8-df84a4c54cc2,9,,,"[47.8, 33.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,2,1,Arsenal,['783763a1-a4d9-4acd-afdc-2734b479ff7a'],3,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.859,42,Ball Receipt*,
,,,,,,,"[48.0, 33.7]",,,,,,,,,,,,,,,,1.165979,,,,,,,,,,,,,,,,,,,,,c31af4fa-8fc0-43f3-ac7e-6c7f9566c7ec,10,,,"[47.8, 33.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15515.0,Patrick Vieira,9.0,Right Defensive Midfield,2,1,Arsenal,"['e9ea44f8-1a9c-4459-9f5b-d393455ee090', 'f157a432-4762-4b4f-acf8-df84a4c54cc2']",3,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.859,43,Carry,
