ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_lost_out,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,9bfa2d5d-a2d7-434a-a59a-a771a1899e4b,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,5106dd68-07b3-46ed-ad23-7e5b397c0725,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 40236, 'name': 'Ian Walker'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40243, 'name': 'Frank Mohammed Sinclair'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40241, 'name': 'Matt Heath'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 24798, 'name': 'Nikos Dabizas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 40239, 'name': 'Jordan Stewart'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 15049, 'name': 'Billy McKinlay'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 40238, 'name': 'Lilian Nalis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15173, 'name': 'Steffen Freund'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 40237, 'name': 'James Scowcroft'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 40242, 'name': 'Marcus Bent'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 40240, 'name': 'Paul Dickov'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",22,Leicester City,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,477e26a2-3a02-419e-b4a0-5b2c266bcbc0,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['6b5d0634-8da6-43bc-bbfc-9dbc36528c86'],0,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,6b5d0634-8da6-43bc-bbfc-9dbc36528c86,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['477e26a2-3a02-419e-b4a0-5b2c266bcbc0'],0,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.238292,,,,,,,,,,,,,,,,,,,,,fa284b54-4e0c-473a-8e4b-b054ad8d4f3d,5,,,"[61.0, 40.1]",0,,,,,-1.6614562,,38.0,Left Foot,,,"[60.9, 39.0]",,1.0,Ground Pass,,1.104536,,,,,,40242.0,Marcus Bent,,,,,,,65.0,Kick Off,1,9,From Kick Off,40240.0,Paul Dickov,24.0,Left Center Forward,2,22,Leicester City,['723e9f72-845d-4eae-8099-987b82c88a39'],1,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:01.036,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723e9f72-845d-4eae-8099-987b82c88a39,6,,,"[60.9, 39.0]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40242.0,Marcus Bent,22.0,Right Center Forward,2,22,Leicester City,['fa284b54-4e0c-473a-8e4b-b054ad8d4f3d'],1,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:01.274,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,0.981739,,,,,,,,,,,,,,,,,,,,,e429fdaa-6659-462b-93c9-eb0037b6a1ad,7,,,"[60.9, 39.0]",0,,,,,2.6511316,,40.0,Right Foot,,,"[50.6, 44.5]",,1.0,Ground Pass,,11.676472,,,,,,15049.0,Billy McKinlay,,,,,,,,,1,9,From Kick Off,40242.0,Marcus Bent,22.0,Right Center Forward,2,22,Leicester City,['fe9b3f04-51e6-4032-9276-9398008d2b2a'],1,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:01.274,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fe9b3f04-51e6-4032-9276-9398008d2b2a,8,,,"[50.6, 44.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15049.0,Billy McKinlay,9.0,Right Defensive Midfield,2,22,Leicester City,['e429fdaa-6659-462b-93c9-eb0037b6a1ad'],2,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:02.256,42,Ball Receipt*,
,,,,,"[49.6, 43.9]",,,,,,,,,,,,,,,,1.253321,,,,,,,,,,,,,,,,,,,,,35722a55-6c76-4bf4-9da0-bcf7931e8235,9,,,"[50.6, 44.5]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15049.0,Billy McKinlay,9.0,Right Defensive Midfield,2,22,Leicester City,"['1c747956-8446-4f89-aefd-30ad38fbe671', 'fe9b3f04-51e6-4032-9276-9398008d2b2a']",2,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:02.256,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.502268,,,,,,,,,,,,,,,,,,,,,1c747956-8446-4f89-aefd-30ad38fbe671,10,,,"[49.6, 43.9]",0,,,,,-1.867504,,40.0,Right Foot,,,"[40.0, 12.5]",,1.0,Ground Pass,,32.834736,,,,,,40239.0,Jordan Stewart,,,,,,,,,1,9,From Kick Off,15049.0,Billy McKinlay,9.0,Right Defensive Midfield,2,22,Leicester City,['249da8ad-11de-42dd-bcfd-6853a8d3fe0f'],3,,,,,,,,,,,,,,,,,,,,,,22,Leicester City,00:00:03.509,30,Pass,
