50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_miscommunication,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,7b7c29be-25a9-452b-8c28-cd51080003c1,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,e58f4c39-c023-4b4c-8232-8ed49301dc5f,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 38403, 'name': 'Shaka Hislop'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40336, 'name': 'Sébastien Schemmel'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 40339, 'name': 'Arjan de Zeeuw'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 40340, 'name': 'Dejan Stefanovic'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20402, 'name': 'Boris Živković'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 40343, 'name': 'Amdy Moustapha Faye'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 40338, 'name': 'Nigel Quashie'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 15505, 'name': 'Steve Stone'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 15259, 'name': 'Patrik Berger'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 15410, 'name': 'Teddy Sheringham'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 40337, 'name': 'Yakubu Aiyegbeni'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]",105,Portsmouth,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,a8ea1463-6717-42ad-86af-6f1ac009b503,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['292b6a5c-4385-4a07-856e-26abe6cb3b1d'],0,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,292b6a5c-4385-4a07-856e-26abe6cb3b1d,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['a8ea1463-6717-42ad-86af-6f1ac009b503'],0,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,0.617632,,,,,,,,,,,,,,,,,,,,,,ac703869-b856-42c4-8615-85dd6b614568,5,,,"[60.0, 40.0]",0,,,,,0.4636476,,40.0,Right Foot,,,"[60.2, 40.1]",,1.0,Ground Pass,,0.2236068,,,,,15042.0,Dennis Bergkamp,,,,,,65.0,Kick Off,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['d0f688c1-64b3-4a40-9c51-4a18701b8759'],2,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.416,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d0f688c1-64b3-4a40-9c51-4a18701b8759,6,,,"[60.2, 40.1]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,['ac703869-b856-42c4-8615-85dd6b614568'],3,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.034,42,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,1.670756,,,,,,,,,,,,,,,,,,,,,,5021c9ad-8c3a-40d6-9e66-f89992dd21af,7,,,"[59.6, 38.8]",0,,,,,3.0540974,,40.0,Right Foot,,,"[42.5, 40.3]",,1.0,Ground Pass,,17.165663,,,,,26014.0,Eduardo César Daude Gaspar,,,,,,,,1,9,From Kick Off,15042.0,Dennis Bergkamp,22.0,Right Center Forward,2,1,Arsenal,['89d215a2-33b0-4d1e-9b65-0b9e1c937c1e'],3,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.034,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89d215a2-33b0-4d1e-9b65-0b9e1c937c1e,8,,,"[42.5, 40.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,15.0,Left Center Midfield,2,1,Arsenal,['5021c9ad-8c3a-40d6-9e66-f89992dd21af'],4,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.705,42,Ball Receipt*,
,,,,,,,"[41.3, 37.6]",,,,,,,,,,,,,,,,,0.569078,,,,,,,,,,,,,,,,,,,,,,721bac69-7a51-4260-a76b-7df841e34f81,9,,,"[42.5, 40.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,26014.0,Eduardo César Daude Gaspar,15.0,Left Center Midfield,2,1,Arsenal,"['51e64d15-461a-4c23-9a7f-0a87c3ce66d6', '89d215a2-33b0-4d1e-9b65-0b9e1c937c1e', 'f2605077-7900-4c4c-ba81-434380245ed2']",4,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.705,43,Carry,True
,,,,,,,,,,,,,,,,,,,,,,,,0.85065,,,,,,,,,,,,,,,,,,,,,,f2605077-7900-4c4c-ba81-434380245ed2,10,,,"[73.9, 44.6]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15410.0,Teddy Sheringham,22.0,Right Center Forward,2,1,Arsenal,"['51e64d15-461a-4c23-9a7f-0a87c3ce66d6', '721bac69-7a51-4260-a76b-7df841e34f81']",4,,,,,,,,,,,,,,,,,,,,,,105,Portsmouth,00:00:04.894,17,Pressure,
