bad_behaviour_card_id,bad_behaviour_card_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,injury_stoppage_in_chain,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height_id,pass_height_name,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome_id,shot_outcome_name,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,5a31a73b-1ddf-407e-9261-bd449192fd8a,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,39,Manchester United,,0,,,,,,,,,,,,,,,,,,,,4321.0,"[{'player': {'id': 13042, 'name': 'Tim Howard'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 15402, 'name': 'Gary Neville'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20171, 'name': 'Rio Ferdinand'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 20341, 'name': 'Mikaël Silvestre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 16890, 'name': 'John O""Shea'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 24805, 'name': 'Roy Keane'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15660, 'name': 'Phil Neville'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 40246, 'name': 'Quinton Fortune Kolobea'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 0}, {'player': {'id': 20175, 'name': 'Ryan Giggs'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 0}, {'player': {'id': 19729, 'name': 'Ruud van Nistelrooy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 0}]",39,Manchester United,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,c5ba9327-71f6-4d86-8c59-b456d8bc9c66,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,39,Manchester United,,0,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 15654, 'name': 'Martin Keown'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 15042, 'name': 'Dennis Bergkamp'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,693e2045-55ad-4c95-aa13-3974f777af20,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,39,Manchester United,['14ed6484-d558-4871-aacf-468a18ccc579'],0,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,14ed6484-d558-4871-aacf-468a18ccc579,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,39,Manchester United,['693e2045-55ad-4c95-aa13-3974f777af20'],0,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.598281,,,,,,,,,,,,,,,,,,,,,,bd64b563-c1d9-4420-bb96-4459b35a6f12,5,,,,"[61.0, 40.1]",0,,,,1.7590178,,38.0,Left Foot,,,,"[60.6, 42.2]",1.0,Ground Pass,2.1377559,,,,,19729.0,Ruud van Nistelrooy,,,,,,,65.0,Kick Off,1,9,From Kick Off,20175.0,Ryan Giggs,20.0,Left Attacking Midfield,2,39,Manchester United,['76ec4a89-0c2a-4a6e-b208-cf28d35fdbb5'],0,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:00.535,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76ec4a89-0c2a-4a6e-b208-cf28d35fdbb5,6,,,,"[60.6, 42.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19729.0,Ruud van Nistelrooy,23.0,Center Forward,2,39,Manchester United,['bd64b563-c1d9-4420-bb96-4459b35a6f12'],1,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:01.133,42,Ball Receipt*,
,,,,,"[61.7, 42.4]",,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,47f3362b-ef9f-474c-807b-adaf90b3df76,7,,,,"[60.6, 42.2]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,19729.0,Ruud van Nistelrooy,23.0,Center Forward,2,39,Manchester United,"['4ca59a6d-f1f8-4899-a57c-66e800e30826', '76ec4a89-0c2a-4a6e-b208-cf28d35fdbb5']",1,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:01.133,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.050289,,,,,,,,,,,,,,,,,,,,,,4ca59a6d-f1f8-4899-a57c-66e800e30826,8,,,,"[61.7, 42.4]",0,,,,-3.0535853,,40.0,Right Foot,,,,"[54.9, 41.8]",1.0,Ground Pass,6.8264194,,,,,24805.0,Roy Keane,,,,,,,,,1,9,From Kick Off,19729.0,Ruud van Nistelrooy,23.0,Center Forward,2,39,Manchester United,['b4600fbb-c2c7-4d8f-a3c9-75f13b03df13'],1,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:01.173,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b4600fbb-c2c7-4d8f-a3c9-75f13b03df13,9,,,,"[54.9, 41.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24805.0,Roy Keane,10.0,Center Defensive Midfield,2,39,Manchester United,['4ca59a6d-f1f8-4899-a57c-66e800e30826'],2,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:02.223,42,Ball Receipt*,
,,,,,"[58.8, 41.1]",,,,,,,,,,,,,,,,1.439515,,,,,,,,,,,,,,,,,,,,,,57aa2862-f0d6-4a70-afa1-8de6d3a3fddc,10,,,,"[54.9, 41.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,24805.0,Roy Keane,10.0,Center Defensive Midfield,2,39,Manchester United,"['b4600fbb-c2c7-4d8f-a3c9-75f13b03df13', 'b9d1f283-7ed7-4284-8a37-5df5e7a8eca3']",2,,,,,,,,,,,,,,,,,,,,,,39,Manchester United,00:00:02.223,43,Carry,
