50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,injury_stoppage_in_chain,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_no_touch,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_redirect,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,ccc71049-23cd-4d99-8118-1eb984db2cf9,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 15654, 'name': 'Martin Keown'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 15515, 'name': 'Patrick Vieira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 15754, 'name': 'Fredrik Ljungberg'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 15512, 'name': 'Sylvain Wiltord'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,9a05b7e9-a839-4fb1-ae14-6ce8ee453806,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20446, 'name': 'Shay Given'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 20059, 'name': 'Aaron Hughes'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40230, 'name': 'Titus Malachi Bramble'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 40225, 'name': 'Andy O""Brien'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 40233, 'name': 'Olivier Bernard'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 40228, 'name': 'Lee Bowyer'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 40234, 'name': 'Jermaine Jenas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 20326, 'name': 'Kieron Dyer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 40227, 'name': 'Laurent Robert'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 40226, 'name': 'Craig Bellamy'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 40231, 'name': 'Alan Shearer'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",37,Newcastle United,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,5ccda4f3-346e-44cb-8f9a-b7827d04a316,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['f52e499c-1739-48de-b30d-eab05f865c27'],0,,,,,,,,,,,,,,,,,,,,,,,37,Newcastle United,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,f52e499c-1739-48de-b30d-eab05f865c27,4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['5ccda4f3-346e-44cb-8f9a-b7827d04a316'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,,0.650261,,,,,,,,,,,,,,,,,,,,,54581ff5-d6b6-464b-912b-a720cce7ab80,5,,,,"[60.0, 40.0]",0,,,,-1.8662372,,40.0,Right Foot,,,,"[58.6, 35.4]",,1.0,Ground Pass,,4.8083262,,,,,15516.0,Thierry Henry,,,,,,,65.0,Kick Off,1,9,From Kick Off,15512.0,Sylvain Wiltord,22.0,Right Center Forward,2,1,Arsenal,['63dfa94c-2783-490c-b7e1-f7d65c307822'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.829,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63dfa94c-2783-490c-b7e1-f7d65c307822,6,,,,"[58.6, 35.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['54581ff5-d6b6-464b-912b-a720cce7ab80'],1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.479,42,Ball Receipt*,
,,,,,,,"[58.7, 35.0]",,,,,,,,,,,,,,,,,0.660863,,,,,,,,,,,,,,,,,,,,,8f0119cf-6b7c-4555-94ae-53fb2c947338,7,,,,"[58.6, 35.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,"['63dfa94c-2783-490c-b7e1-f7d65c307822', 'eaf7d3ef-6002-48a5-a80d-1a5905b13d90']",1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.479,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,,1.650404,,,,,,,,,,,,,,,,,,,,,eaf7d3ef-6002-48a5-a80d-1a5905b13d90,8,,,,"[58.7, 35.0]",0,,,,2.0078022,,40.0,Right Foot,,,,"[45.2, 63.9]",,1.0,Ground Pass,,31.89765,,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['772faf0d-ff27-4443-b21e-d83a905f7195'],2,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:02.140,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772faf0d-ff27-4443-b21e-d83a905f7195,9,,,,"[45.2, 63.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['eaf7d3ef-6002-48a5-a80d-1a5905b13d90'],3,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.790,42,Ball Receipt*,
,,,,,,,"[45.2, 63.9]",,,,,,,,,,,,,,,,,1.025458,,,,,,,,,,,,,,,,,,,,,dc860afa-3d28-41f9-a776-ac3bb945d300,10,,,,"[45.2, 63.9]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['772faf0d-ff27-4443-b21e-d83a905f7195', 'ce115eeb-4062-417d-9c84-cc446f5db25b']",3,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.790,43,Carry,
