ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_outswinging,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_saved_off_target,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,a950af48-8f29-480a-874a-acf74f6da9a6,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,24,Liverpool,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 34390, 'name': 'Jerzy Dudek'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 34392, 'name': 'Steve Finnan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 40254, 'name': 'Igor Bišćan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 34389, 'name': 'Sami Hyypiä'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 34386, 'name': 'John Arne Semundseth Riise'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 40256, 'name': 'Salif Alassane Diao'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 19109, 'name': 'Steven Gerrard'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 40257, 'name': 'El-Hadji Ousseynou Diouf'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 15280, 'name': 'Vladimir Smicer'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 34391, 'name': 'Harry Kewell'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15665, 'name': 'Michael Owen'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]",24,Liverpool,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,c2c09003-c0b4-45e8-80bf-1be9c57ba7a9,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,24,Liverpool,,0,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 40255, 'name': 'Jérémie Aliadière'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,e2df48eb-3634-43ec-a807-b355a69b0736,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,24,Liverpool,['0a5902a8-3b18-40d7-bd42-6c687465479e'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0a5902a8-3b18-40d7-bd42-6c687465479e,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,24,Liverpool,['e2df48eb-3634-43ec-a807-b355a69b0736'],0,,,,,,,,,,,,,,,,,,,,,,,24,Liverpool,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,0.934813,,,,,,,,,,,,,,,,,,,7ddf406e-8286-41d7-af42-89ed25a523da,5,,,"[60.0, 40.0]",0,,,,0.48995733,,40.0,Right Foot,,,,"[61.5, 40.8]",,1.0,Ground Pass,,1.7,,,,15516.0,Thierry Henry,,,,,,,65.0,Kick Off,1,9,From Kick Off,40255.0,Jérémie Aliadière,22.0,Right Center Forward,2,1,Arsenal,['7b8cb53f-163e-48e1-996b-181b5a7a5ab3'],0,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.986,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7b8cb53f-163e-48e1-996b-181b5a7a5ab3,6,,,"[61.5, 40.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['7ddf406e-8286-41d7-af42-89ed25a523da'],1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.921,42,Ball Receipt*,
,,,,,"[61.4, 41.6]",,,,,,,,,,,,,,,,1.295717,,,,,,,,,,,,,,,,,,,1e3c412e-06e7-428f-a412-f313c3ccb077,7,,,"[61.5, 40.8]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,"['7b8cb53f-163e-48e1-996b-181b5a7a5ab3', 'e65ee975-b3fe-4394-b435-2c04685b9fe4']",1,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:01.921,43,Carry,
,,,,,,,,,,,,,,,,,,,,,1.579912,,,,,,,,,,,,,,,,,,,e65ee975-b3fe-4394-b435-2c04685b9fe4,8,,,"[61.4, 41.6]",0,,,,2.2550912,,38.0,Left Foot,,,,"[42.8, 64.4]",,1.0,Ground Pass,,29.42448,,,,40222.0,Laureano Bisan-Etame Mayer,,,,,,,,,1,9,From Kick Off,15516.0,Thierry Henry,24.0,Left Center Forward,2,1,Arsenal,['4cfd7d1f-b5fb-4039-9138-2db9850f289a'],3,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:03.216,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4cfd7d1f-b5fb-4039-9138-2db9850f289a,9,,,"[42.8, 64.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,['e65ee975-b3fe-4394-b435-2c04685b9fe4'],4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.796,42,Ball Receipt*,
,,,,,"[42.6, 64.5]",,,,,,,,,,,,,,,,1.730487,,,,,,,,,,,,,,,,,,,d45717f4-ecbd-4c9e-a13c-d9606685a685,10,,,"[42.8, 64.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,40222.0,Laureano Bisan-Etame Mayer,2.0,Right Back,2,1,Arsenal,"['4cfd7d1f-b5fb-4039-9138-2db9850f289a', '4f64ab2d-fdcd-4921-9f97-1541cff69321']",4,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:04.796,43,Carry,
