50_50_outcome_id,50_50_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome_id,dribble_outcome_name,dribble_overrun,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,duration,foul_committed_advantage,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_won_advantage,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_shot_saved_off_target,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,id,index,interception_outcome_id,interception_outcome_name,location,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part_id,pass_body_part_name,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height_id,pass_height_name,pass_inswinging,pass_length,pass_outcome_id,pass_outcome_name,pass_recipient_id,pass_recipient_name,pass_shot_assist,pass_straight,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,pass_type_id,pass_type_name,period,play_pattern_id,play_pattern_name,player_id,player_name,position_id,position_name,possession,possession_team_id,possession_team_name,related_events,second,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome_id,shot_outcome_name,shot_saved_off_target,shot_statsbomb_xg,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,tactics_formation,tactics_lineup,team_id,team_name,timestamp,type_id,type_name,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,a056b560-9fd7-4bb5-8a74-7e119856d923,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 20015, 'name': 'Jens Lehmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40222, 'name': 'Laureano Bisan-Etame Mayer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 38412, 'name': 'Kolo Habib Touré'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 15637, 'name': 'Sulzeer Jeremiah ""Sol"" Campbell'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12529, 'name': 'Ashley Cole'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 24972, 'name': 'Ray Parlour'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 40221, 'name': 'Gilberto Aparecido da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 26014, 'name': 'Eduardo César Daude Gaspar'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 0}, {'player': {'id': 19312, 'name': 'Robert Pirès '}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 15512, 'name': 'Sylvain Wiltord'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",1,Arsenal,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1a52b3a1-5432-4cae-a723-da4f35fbcd81,2,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,,0,,,,,,,,,,,,,,,,,,,,,,,,442.0,"[{'player': {'id': 40260, 'name': 'Carlo Cudicini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 0}, {'player': {'id': 4724, 'name': 'Glen Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 0}, {'player': {'id': 20281, 'name': 'Mario Melchiot'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 0}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 0}, {'player': {'id': 40258, 'name': 'Wayne Bridge'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 0}, {'player': {'id': 20254, 'name': 'Claude Makélélé'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 20330, 'name': 'Frank Lampard'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 0}, {'player': {'id': 40261, 'name': 'Gérémi Sorele N""Djitap Fotso'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 0}, {'player': {'id': 20444, 'name': 'Damien Duff'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 0}, {'player': {'id': 34394, 'name': 'Hernán Jorge Crespo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 0}, {'player': {'id': 18105, 'name': 'Adrian Mutu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 0}]",33,Chelsea,00:00:00.000,35,Starting XI,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,6b245dc0-4197-4ecb-b203-4c028d72c691,3,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['39ff4c29-ae18-446f-8f92-37f26f3f4742'],0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Arsenal,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,39ff4c29-ae18-446f-8f92-37f26f3f4742,4,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Regular Play,,,,,1,1,Arsenal,['6b245dc0-4197-4ecb-b203-4c028d72c691'],0,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:00.000,18,Half Start,
,,,,,,,,,,,,,,,,,,,,,,,1.295973,,,,,,,,,,,,,,,,,,,,,02e3c54e-6f34-4144-8c1c-2fb0b3945616,5,,,"[61.0, 40.1]",0,,,,,2.002197,,38.0,Left Foot,,,,"[58.1, 46.4]",,1.0,Ground Pass,,6.935416,,,20254.0,Claude Makélélé,,,,,,,65.0,Kick Off,1,9,From Kick Off,18105.0,Adrian Mutu,24.0,Left Center Forward,2,33,Chelsea,['e1aaae3a-50ee-4a55-8798-b5d1c1d4e3c1'],0,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:00.906,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e1aaae3a-50ee-4a55-8798-b5d1c1d4e3c1,6,,,"[58.1, 46.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20254.0,Claude Makélélé,9.0,Right Defensive Midfield,2,33,Chelsea,['02e3c54e-6f34-4144-8c1c-2fb0b3945616'],2,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:02.202,42,Ball Receipt*,
,,,,,,,"[58.1, 46.4]",,,,,,,,,,,,,,,,0.253796,,,,,,,,,,,,,,,,,,,,,6204ec94-5972-416e-a0ba-726f0d988878,7,,,"[58.1, 46.4]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20254.0,Claude Makélélé,9.0,Right Defensive Midfield,2,33,Chelsea,"['a47e898f-5cec-457b-ab60-cfacf40e0597', 'e1aaae3a-50ee-4a55-8798-b5d1c1d4e3c1']",2,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:02.202,43,Carry,
,,,,,,,,,,,,,,,,,,,,,,,1.876026,,,,,,,,,,,,,,,,,,,,,a47e898f-5cec-457b-ab60-cfacf40e0597,8,,,"[58.1, 46.4]",0,,,,,1.9223546,,38.0,Left Foot,,,,"[48.6, 72.3]",,1.0,Ground Pass,,27.587317,,,20281.0,Mario Melchiot,,,,,,,,,1,9,From Kick Off,20254.0,Claude Makélélé,9.0,Right Defensive Midfield,2,33,Chelsea,['033cda21-cdaf-49dd-a53a-6ee154a63340'],2,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:02.455,30,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,033cda21-cdaf-49dd-a53a-6ee154a63340,9,,,"[48.6, 72.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20281.0,Mario Melchiot,3.0,Right Center Back,2,33,Chelsea,['a47e898f-5cec-457b-ab60-cfacf40e0597'],4,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:04.331,42,Ball Receipt*,
,,,,,,,"[48.1, 70.2]",,,,,,,,,,,,,,,,1.574962,,,,,,,,,,,,,,,,,,,,,2645ce63-4523-4280-b528-854abe60fba0,10,,,"[48.6, 72.3]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,From Kick Off,20281.0,Mario Melchiot,3.0,Right Center Back,2,33,Chelsea,"['033cda21-cdaf-49dd-a53a-6ee154a63340', '0575832b-4813-46c2-a637-5750bd409bfa']",4,,,,,,,,,,,,,,,,,,,,,,,,,,33,Chelsea,00:00:04.331,43,Carry,
